user_id;nama_user;kodepos;email
1;Ir. Paris Siregar, S.Sos;20412;dadapsamosir@hotmail.com
2;Oliva Zulkarnain;37034;permadiputri@pt.mil.id
3;Latika Mustofa;02728;caturanggriawan@pd.go.id
4;Elvina Rahmawati;00470;varyani@pd.ac.id
5;Tedi Irawan;39756;latuponodaliono@hotmail.com
6;Ir. Hartaka Susanti;06391;siregarfebi@perum.int
7;Manah Nuraini, M.M.;57253;ira80@gmail.com
8;Hadi Habibi, S.Gz;06889;yonosirait@pt.net.id
9;Caket Utami;32723;suwarnopadmi@perum.edu
10;Tgk. Bagas Wasita, M.Pd;75893;fprasetya@hotmail.com
11;Lalita Sitompul, M.Ak;02402;lamarutama@pd.web.id
12;Cindy Manullang;65440;dinda95@hotmail.com
13;Tgk. Cici Rajata;02077;pradiptaega@gmail.com
14;Gasti Natsir;25835;purnawativirman@hotmail.com
15;Lintang Rahayu;29597;kenzie11@hotmail.com
16;Lamar Halim;90234;qyulianti@gmail.com
17;R. Karen Marpaung, S.Pt;39016;zsuryono@cv.id
18;Tgk. Hasna Prasasta, M.Farm;09977;pnashiruddin@gmail.com
19;Wardaya Laksmiwati;48665;adinata15@hotmail.com
20;Dr. Adika Kusmawati, S.Pt;39522;wahyunirestu@hotmail.com
21;Novi Situmorang, S.Farm;74053;onipradipta@pd.go.id
22;Gandi Rahmawati;81430;latuponoharjaya@cv.mil
23;Ira Sinaga;51647;vyulianti@yahoo.com
24;Purwa Saefullah;23093;egagunarto@yahoo.com
25;Dr. Ganep Latupono, S.Kom;31565;alikathamrin@pd.net
26;Gaman Prasetya, S.E.I;63412;oni60@gmail.com
27;Bahuwirya Haryanto;38480;esiregar@gmail.com
28;Dr. Kawaya Fujiati, M.Ak;02651;lailasarigamani@perum.edu
29;Sidiq Saputra, M.Pd;47078;kprabowo@pt.net.id
30;Gamanto Maulana;80220;anggrainieluh@perum.mil
31;Hj. Kiandra Tampubolon;69503;nasyiahhana@gmail.com
32;Samiah Maulana;69802;astutinasab@gmail.com
33;Jasmin Firmansyah;85389;yancerahimah@pt.gov
34;Edison Maulana;05086;jailandriani@gmail.com
35;Laksana Winarno;05750;xbudiyanto@cv.web.id
36;Ratih Wahyudin;82917;uprasetya@yahoo.com
37;Citra Nurdiyanti, M.Pd;88781;galih56@pt.net.id
38;dr. Laswi Andriani;13883;daliminardianto@hotmail.com
39;Himawan Rahayu;86856;unggulsuryatmi@cv.web.id
40;R.A. Rachel Iswahyudi;57543;hjailani@hotmail.com
41;Kartika Thamrin;93826;icha73@gmail.com
42;Oliva Wahyudin;83572;yunizulaika@ud.net.id
43;Puji Hidayanto, S.T.;83422;maida04@hotmail.com
44;Kasiyah Nugroho, S.H.;24766;elvin02@ud.edu
45;Warta Aryani;13120;arissamosir@ud.id
46;Eja Tarihoran;77851;imarpaung@ud.go.id
47;Tami Padmasari;40805;perkasakusmawati@cv.co.id
48;R. Melinda Wacana;03497;adhiarjawastuti@pd.mil.id
49;Oni Halim;45037;danuyulianti@hotmail.com
50;Wage Saragih, M.Ak;73391;bagiyaastuti@ud.edu
51;KH. Ridwan Pranowo;44206;llatupono@hotmail.com
